Date,Time,Demand,Datetime,Temperature,Humidity
2020/1/1,0:00,2857,2020-01-01 00:00:00,1.1,58
2020/1/1,1:00,2703,2020-01-01 01:00:00,1.3,56
2020/1/1,2:00,2602,2020-01-01 02:00:00,1.4,56
2020/1/1,3:00,2520,2020-01-01 03:00:00,1.6,57
2020/1/1,4:00,2464,2020-01-01 04:00:00,1.7,58
2020/1/1,5:00,2469,2020-01-01 05:00:00,2.2,58
2020/1/1,6:00,2585,2020-01-01 06:00:00,2.4,59
2020/1/1,7:00,2763,2020-01-01 07:00:00,2.3,60
2020/1/1,8:00,2917,2020-01-01 08:00:00,2.4,62
2020/1/1,9:00,2859,2020-01-01 09:00:00,4.3,50
2020/1/1,10:00,2718,2020-01-01 10:00:00,5.1,50
2020/1/1,11:00,2595,2020-01-01 11:00:00,6.0,50
2020/1/1,12:00,2520,2020-01-01 12:00:00,6.7,49
2020/1/1,13:00,2449,2020-01-01 13:00:00,7.3,49
2020/1/1,14:00,2432,2020-01-01 14:00:00,7.9,50
2020/1/1,15:00,2503,2020-01-01 15:00:00,8.1,52
2020/1/1,16:00,2717,2020-01-01 16:00:00,7.6,66
2020/1/1,17:00,3019,2020-01-01 17:00:00,7.0,58
2020/1/1,18:00,3089,2020-01-01 18:00:00,4.9,71
2020/1/1,19:00,3105,2020-01-01 19:00:00,3.7,76
2020/1/1,20:00,3107,2020-01-01 20:00:00,2.5,84
2020/1/1,21:00,3075,2020-01-01 21:00:00,3.0,82
2020/1/1,22:00,2963,2020-01-01 22:00:00,1.9,86
2020/1/1,23:00,2843,2020-01-01 23:00:00,2.8,72
2020/1/2,0:00,2640,2020-01-02 00:00:00,2.9,72
2020/1/2,1:00,2514,2020-01-02 01:00:00,3.2,70
2020/1/2,2:00,2468,2020-01-02 02:00:00,2.7,73
2020/1/2,3:00,2441,2020-01-02 03:00:00,1.7,77
2020/1/2,4:00,2435,2020-01-02 04:00:00,0.6,82
2020/1/2,5:00,2487,2020-01-02 05:00:00,-0.1,84
2020/1/2,6:00,2658,2020-01-02 06:00:00,0.8,80
2020/1/2,7:00,2863,2020-01-02 07:00:00,1.2,77
2020/1/2,8:00,3010,2020-01-02 08:00:00,2.3,75
2020/1/2,9:00,2961,2020-01-02 09:00:00,4.6,70
2020/1/2,10:00,2865,2020-01-02 10:00:00,6.9,62
2020/1/2,11:00,2773,2020-01-02 11:00:00,8.4,59
2020/1/2,12:00,2687,2020-01-02 12:00:00,9.7,56
2020/1/2,13:00,2583,2020-01-02 13:00:00,10.7,53
2020/1/2,14:00,2541,2020-01-02 14:00:00,11.4,48
2020/1/2,15:00,2600,2020-01-02 15:00:00,11.2,48
2020/1/2,16:00,2808,2020-01-02 16:00:00,9.4,67
2020/1/2,17:00,3107,2020-01-02 17:00:00,7.0,76
2020/1/2,18:00,3187,2020-01-02 18:00:00,7.1,72
2020/1/2,19:00,3196,2020-01-02 19:00:00,6.3,68
2020/1/2,20:00,3184,2020-01-02 20:00:00,5.1,66
2020/1/2,21:00,3128,2020-01-02 21:00:00,4.6,84
2020/1/2,22:00,2999,2020-01-02 22:00:00,4.1,82
2020/1/2,23:00,2868,2020-01-02 23:00:00,2.8,79
2020/1/3,0:00,2653,2020-01-03 00:00:00,1.5,85
2020/1/3,1:00,2525,2020-01-03 01:00:00,1.1,83
2020/1/3,2:00,2478,2020-01-03 02:00:00,0.8,83
2020/1/3,3:00,2457,2020-01-03 03:00:00,0.5,85
2020/1/3,4:00,2449,2020-01-03 04:00:00,-0.3,87
2020/1/3,5:00,2503,2020-01-03 05:00:00,-0.7,88
2020/1/3,6:00,2670,2020-01-03 06:00:00,-1.1,89
2020/1/3,7:00,2892,2020-01-03 07:00:00,-1.3,90
2020/1/3,8:00,3074,2020-01-03 08:00:00,0.3,87
2020/1/3,9:00,3034,2020-01-03 09:00:00,2.6,76
2020/1/3,10:00,2908,2020-01-03 10:00:00,5.2,71
2020/1/3,11:00,2777,2020-01-03 11:00:00,7.3,61
2020/1/3,12:00,2693,2020-01-03 12:00:00,8.6,57
2020/1/3,13:00,2629,2020-01-03 13:00:00,9.5,57
2020/1/3,14:00,2603,2020-01-03 14:00:00,10.1,57
